DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
20111024;0;167.0700000;170.4500000;166.0800000;170.0000000;61705500
20111025;0;169.7000000;171.0100000;166.2100000;168.3800000;69453930
20111026;0;167.7000000;179.5000000;167.3600000;177.1000000;130669010
20111027;0;181.0300000;187.3900000;181.0000000;185.8000000;128481900
20111028;0;187.2000000;190.2400000;182.6500000;185.0000000;96701430
20111031;0;183.1000000;184.1000000;178.8100000;179.2000000;60452330
20111101;0;176.9000000;178.3000000;170.3000000;174.8000000;105496800
20111102;0;175.9000000;183.8700000;175.4300000;182.5900000;130278830
20111103;0;180.3500000;185.4300000;175.4000000;183.2300000;127800790
20111107;0;184.0500000;188.0500000;179.3500000;183.4700000;80700750
20111108;0;183.6000000;185.7800000;182.5800000;183.2500000;68997000
20111109;0;184.8900000;185.5500000;178.3000000;180.9600000;100982510
20111110;0;178.4000000;184.9600000;177.0200000;183.1100000;83675980
20111111;0;184.5500000;184.6000000;179.7000000;183.5000000;57069150
20111114;0;184.9500000;186.4500000;182.3500000;182.7000000;56409350
20111115;0;182.7000000;186.5000000;180.8400000;185.9900000;92657800
20111116;0;184.4200000;189.7200000;182.9100000;187.7000000;91764830
20111117;0;187.2000000;188.8700000;181.7600000;184.0000000;96251200
20111118;0;181.0000000;182.3900000;179.9300000;180.0100000;57084100
20111121;0;177.9700000;178.1900000;168.9200000;169.7500000;80749970
20111122;0;170.0500000;173.7800000;167.8100000;169.0000000;72536120
20111123;0;167.0000000;171.9500000;165.8800000;167.7000000;85377260
20111124;0;167.3400000;169.6800000;165.6600000;166.0000000;40949750
20111125;0;165.3300000;166.6900000;161.8400000;166.2800000;62828020
20111128;0;168.0800000;172.0300000;167.8000000;171.9800000;61304450
20111129;0;172.9800000;173.9900000;170.2200000;170.8900000;54921520
20111130;0;170.3000000;175.8700000;168.4000000;174.9000000;85534780
20111201;0;176.1100000;184.4000000;175.0100000;181.4900000;136487040
20111202;0;183.0000000;186.6900000;180.0700000;183.5200000;114150040
20111205;0;183.8500000;185.4500000;182.0600000;184.6000000;44441980
20111206;0;183.0000000;184.4500000;174.4300000;175.5700000;106387430
20111207;0;176.4900000;177.0900000;172.4100000;174.7000000;101030530
20111208;0;175.9900000;179.9200000;175.5800000;177.2000000;87397230
20111209;0;173.9900000;173.9900000;170.0000000;170.4500000;90744780
20111212;0;172.5000000;173.5000000;163.8000000;164.4200000;80724270
20111213;0;163.9300000;168.1500000;160.1000000;166.8600000;92801500
20111214;0;165.6600000;170.4600000;164.1200000;164.9000000;81369690
20111215;0;162.5100000;172.1800000;161.8600000;170.9700000;100626080
20111216;0;172.0900000;173.4100000;169.0700000;169.5100000;63872090
20111219;0;168.3700000;168.3800000;165.5600000;166.3000000;53501640
20111220;0;165.8500000;172.9700000;163.5500000;172.5500000;74513120
20111221;0;173.4800000;173.9500000;169.0000000;169.7800000;73895200
20111222;0;169.8900000;171.8900000;168.3100000;170.8200000;46503050
20111223;0;171.5200000;172.5000000;169.2700000;169.7100000;34963200
20111226;0;170.5900000;171.6800000;169.5000000;171.5300000;19969730
20111227;0;171.4000000;171.6900000;168.8900000;170.7500000;21486710
20111228;0;170.1200000;171.4900000;169.1500000;169.4700000;23370920
20111229;0;168.7700000;170.7700000;165.3400000;170.6000000;37801180
20111230;0;170.9000000;172.1300000;169.0600000;171.3600000;24601610
20120103;0;172.5300000;177.6000000;172.2200000;177.5000000;24847160
20120104;0;177.5500000;178.1000000;175.0000000;176.9100000;25240160
20120105;0;177.0100000;179.3700000;175.4000000;177.2000000;36916460
20120106;0;177.0000000;178.7200000;176.1100000;176.2000000;21350190
20120109;0;175.9500000;177.5700000;174.3300000;177.2700000;25066970
